from,to,strength,direction,in_final_dag,verdict,confidence_score,direction_assessment,rationale,pubmed_references,indra_direction_signal,indra_forward_statement_count,indra_reverse_statement_count,indra_undirected_statement_count,indra_forward_pmids,indra_reverse_pmids,indra_undirected_pmids,search_query
cm_cd4_t_cell_ifn_alpha,cm_cd4_t_cell_ifn_gamma,1.0,0.99,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon alpha response within central memory CD4 T cell (peripheral blood).) AND (Pathway activity score for interferon gamma response within central memory CD4 T cell (peripheral blood).)
cm_cd4_t_cell_ifn_alpha,gzmb_cd27_em_cd4_t_cell_ifn_alpha,1.0,0.945,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon alpha response within central memory CD4 T cell (peripheral blood).) AND (Pathway activity score for interferon alpha response within Granzyme B+ CD27+ effector memory CD4 T cell (peripheral blood).)
cm_cd4_t_cell_il2_stat5,cm_cd4_t_cell_tnfa_nfkb,1.0,0.99,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for IL-2/STAT5 signaling within central memory CD4 T cell (peripheral blood).) AND (Pathway activity score for TNF-alpha/NF-kB signaling within central memory CD4 T cell (peripheral blood).)
cm_cd4_t_cell_il2_stat5,gzmb_cd27_em_cd4_t_cell_il2_stat5,1.0,0.98,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for IL-2/STAT5 signaling within central memory CD4 T cell (peripheral blood).) AND (Pathway activity score for IL-2/STAT5 signaling within Granzyme B+ CD27+ effector memory CD4 T cell (peripheral blood).)
cm_cd4_t_cell_il2_stat5,cm_cd8_t_cell_il2_stat5,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for IL-2/STAT5 signaling within central memory CD4 T cell (peripheral blood).) AND (Pathway activity score for IL-2/STAT5 signaling within central memory CD8 T cell (peripheral blood).)
cm_cd4_t_cell_tnfa_nfkb,gzmb_cd27_em_cd4_t_cell_tnfa_nfkb,1.0,0.99,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for TNF-alpha/NF-kB signaling within central memory CD4 T cell (peripheral blood).) AND (Pathway activity score for TNF-alpha/NF-kB signaling within Granzyme B+ CD27+ effector memory CD4 T cell (peripheral blood).)
cd56bright_nk_cell_ifn_alpha,cd56bright_nk_cell_ifn_gamma,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon alpha response within CD56bright NK cell (peripheral blood).) AND (Pathway activity score for interferon gamma response within CD56bright NK cell (peripheral blood).)
gzmb_cd27_em_cd4_t_cell_ifn_alpha,gzmb_cd27_em_cd4_t_cell_ifn_gamma,1.0,0.77,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon alpha response within Granzyme B+ CD27+ effector memory CD4 T cell (peripheral blood).) AND (Pathway activity score for interferon gamma response within Granzyme B+ CD27+ effector memory CD4 T cell (peripheral blood).)
core_naive_cd8_t_cell_ifn_alpha,core_naive_cd8_t_cell_ifn_gamma,1.0,0.975,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon alpha response within naive CD8 T cell (peripheral blood).) AND (Pathway activity score for interferon gamma response within naive CD8 T cell (peripheral blood).)
core_naive_cd8_t_cell_ifn_gamma,core_naive_cd4_t_cell_ifn_gamma,1.0,0.99,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within naive CD8 T cell (peripheral blood).) AND (Pathway activity score for interferon gamma response within naive CD4 T cell (peripheral blood).)
core_naive_cd8_t_cell_il2_stat5,core_naive_cd4_t_cell_il2_stat5,1.0,0.99,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for IL-2/STAT5 signaling within naive CD8 T cell (peripheral blood).) AND (Pathway activity score for IL-2/STAT5 signaling within naive CD4 T cell (peripheral blood).)
core_naive_cd8_t_cell_inflammatory,core_naive_cd8_t_cell_il6_jak_stat3,1.0,0.87,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for inflammatory response within naive CD8 T cell (peripheral blood).) AND (Pathway activity score for IL-6/JAK/STAT3 signaling within naive CD8 T cell (peripheral blood).)
core_naive_cd8_t_cell_tnfa_nfkb,core_naive_cd4_t_cell_tnfa_nfkb,1.0,0.69,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for TNF-alpha/NF-kB signaling within naive CD8 T cell (peripheral blood).) AND (Pathway activity score for TNF-alpha/NF-kB signaling within naive CD4 T cell (peripheral blood).)
core_naive_b_cell_ifn_alpha,core_naive_b_cell_ifn_gamma,1.0,0.945,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon alpha response within naive B cell (peripheral blood).) AND (Pathway activity score for interferon gamma response within naive B cell (peripheral blood).)
core_naive_b_cell_il6_jak_stat3,core_naive_b_cell_inflammatory,1.0,0.97,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for IL-6/JAK/STAT3 signaling within naive B cell (peripheral blood).) AND (Pathway activity score for inflammatory response within naive B cell (peripheral blood).)
core_naive_b_cell_tnfa_nfkb,transitional_b_cell_tnfa_nfkb,1.0,0.96,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for TNF-alpha/NF-kB signaling within naive B cell (peripheral blood).) AND (Pathway activity score for TNF-alpha/NF-kB signaling within transitional B cell (peripheral blood).)
core_naive_cd4_t_cell_ifn_gamma,core_naive_cd4_t_cell_ifn_alpha,1.0,0.84,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within naive CD4 T cell (peripheral blood).) AND (Pathway activity score for interferon alpha response within naive CD4 T cell (peripheral blood).)
core_naive_cd4_t_cell_il6_jak_stat3,core_naive_cd4_t_cell_inflammatory,1.0,0.88,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for IL-6/JAK/STAT3 signaling within naive CD4 T cell (peripheral blood).) AND (Pathway activity score for inflammatory response within naive CD4 T cell (peripheral blood).)
core_memory_b_cell_ifn_gamma,core_memory_b_cell_ifn_alpha,1.0,0.65,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within memory B cell (peripheral blood).) AND (Pathway activity score for interferon alpha response within memory B cell (peripheral blood).)
core_cd14_monocyte_ifn_alpha,core_cd14_monocyte_ifn_gamma,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon alpha response within CD14 monocyte (peripheral blood).) AND (Pathway activity score for interferon gamma response within CD14 monocyte (peripheral blood).)
core_cd14_monocyte_il2_stat5,core_cd14_monocyte_inflammatory,1.0,0.81,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for IL-2/STAT5 signaling within CD14 monocyte (peripheral blood).) AND (Pathway activity score for inflammatory response within CD14 monocyte (peripheral blood).)
core_cd14_monocyte_il2_stat5,isg_cd14_monocyte_il2_stat5,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for IL-2/STAT5 signaling within CD14 monocyte (peripheral blood).) AND (Pathway activity score for IL-2/STAT5 signaling within ISG-high (interferon-stimulated-gene-high) CD14 monocyte (peripheral blood).)
core_cd14_monocyte_il6_jak_stat3,isg_cd14_monocyte_il6_jak_stat3,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for IL-6/JAK/STAT3 signaling within CD14 monocyte (peripheral blood).) AND (Pathway activity score for IL-6/JAK/STAT3 signaling within ISG-high (interferon-stimulated-gene-high) CD14 monocyte (peripheral blood).)
