alias,csv_column,modality,type,log_transformed,alr_transformed,alr_reference
CCL11,olink.CCL11,olink,continuous,FALSE,FALSE,NA
TNFRSF1A,olink.TNFRSF1A,olink,continuous,FALSE,FALSE,NA
CD8A,olink.CD8A,olink,continuous,FALSE,FALSE,NA
GZMA,olink.GZMA,olink,continuous,FALSE,FALSE,NA
GZMB,olink.GZMB,olink,continuous,FALSE,FALSE,NA
KLRD1,olink.KLRD1,olink,continuous,FALSE,FALSE,NA
FGF21,olink.FGF21,olink,continuous,FALSE,FALSE,NA
CHI3L1,olink.CHI3L1,olink,continuous,FALSE,FALSE,NA
IL18,olink.IL18,olink,continuous,FALSE,FALSE,NA
CXCL10,olink.CXCL10,olink,continuous,FALSE,FALSE,NA
CXCL11,olink.CXCL11,olink,continuous,FALSE,FALSE,NA
IFNG,olink.IFNG,olink,continuous,FALSE,FALSE,NA
CCL2,olink.CCL2,olink,continuous,FALSE,FALSE,NA
CCL8,olink.CCL8,olink,continuous,FALSE,FALSE,NA
CCL3,olink.CCL3,olink,continuous,FALSE,FALSE,NA
CCL4,olink.CCL4,olink,continuous,FALSE,FALSE,NA
TNFRSF1B,olink.TNFRSF1B,olink,continuous,FALSE,FALSE,NA
MMP12,olink.MMP12,olink,continuous,FALSE,FALSE,NA
IGFBP7,olink.IGFBP7,olink,continuous,FALSE,FALSE,NA
VEGFA,olink.VEGFA,olink,continuous,FALSE,FALSE,NA
IL10,olink.IL10,olink,continuous,FALSE,FALSE,NA
IL1RN,olink.IL1RN,olink,continuous,FALSE,FALSE,NA
IL7,olink.IL7,olink,continuous,FALSE,FALSE,NA
IL15,olink.IL15,olink,continuous,FALSE,FALSE,NA
PDCD1,olink.PDCD1,olink,continuous,FALSE,FALSE,NA
LAG3,olink.LAG3,olink,continuous,FALSE,FALSE,NA
HAVCR2,olink.HAVCR2,olink,continuous,FALSE,FALSE,NA
CD274,olink.CD274,olink,continuous,FALSE,FALSE,NA
LEP,olink.LEP,olink,continuous,FALSE,FALSE,NA
l2_erythrocyte,freq.L2_erythrocyte,freq,continuous,FALSE,FALSE,NA
l2_ilc,freq.L2_ilc,freq,continuous,FALSE,FALSE,NA
l2_platelet,freq.L2_platelet,freq,continuous,FALSE,FALSE,NA
