from,to,constraint
pb.klrb1_memory_cd4_treg_il2_stat5,subject.ageGroup,blacklist
pb.klrb1_memory_cd4_treg_il6_jak_stat3,subject.ageGroup,blacklist
pb.klrb1_memory_cd4_treg_inflammatory,subject.ageGroup,blacklist
pb.klrb1_memory_cd4_treg_tnfa_nfkb,subject.ageGroup,blacklist
pb.klrb1_memory_cd8_treg_ifn_alpha,subject.ageGroup,blacklist
pb.klrb1_memory_cd8_treg_ifn_gamma,subject.ageGroup,blacklist
pb.klrb1_memory_cd8_treg_il2_stat5,subject.ageGroup,blacklist
pb.klrb1_memory_cd8_treg_il6_jak_stat3,subject.ageGroup,blacklist
pb.klrb1_memory_cd8_treg_inflammatory,subject.ageGroup,blacklist
pb.klrb1_memory_cd8_treg_tnfa_nfkb,subject.ageGroup,blacklist
pb.klrf1_effector_vd1_gdt_ifn_alpha,subject.ageGroup,blacklist
pb.klrf1_effector_vd1_gdt_ifn_gamma,subject.ageGroup,blacklist
pb.klrf1_effector_vd1_gdt_il2_stat5,subject.ageGroup,blacklist
pb.klrf1_effector_vd1_gdt_il6_jak_stat3,subject.ageGroup,blacklist
pb.klrf1_effector_vd1_gdt_inflammatory,subject.ageGroup,blacklist
pb.klrf1_effector_vd1_gdt_tnfa_nfkb,subject.ageGroup,blacklist
pb.klrf1_gzmb_cd27_em_cd8_t_cell_ifn_alpha,subject.ageGroup,blacklist
pb.klrf1_gzmb_cd27_em_cd8_t_cell_ifn_gamma,subject.ageGroup,blacklist
pb.klrf1_gzmb_cd27_em_cd8_t_cell_il2_stat5,subject.ageGroup,blacklist
pb.klrf1_gzmb_cd27_em_cd8_t_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.klrf1_gzmb_cd27_em_cd8_t_cell_inflammatory,subject.ageGroup,blacklist
pb.klrf1_gzmb_cd27_em_cd8_t_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.klrf1_gzmb_cd27_memory_cd4_t_cell_ifn_alpha,subject.ageGroup,blacklist
pb.klrf1_gzmb_cd27_memory_cd4_t_cell_ifn_gamma,subject.ageGroup,blacklist
pb.klrf1_gzmb_cd27_memory_cd4_t_cell_il2_stat5,subject.ageGroup,blacklist
pb.klrf1_gzmb_cd27_memory_cd4_t_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.klrf1_gzmb_cd27_memory_cd4_t_cell_inflammatory,subject.ageGroup,blacklist
pb.klrf1_gzmb_cd27_memory_cd4_t_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.memory_cd4_treg_ifn_alpha,subject.ageGroup,blacklist
pb.memory_cd4_treg_ifn_gamma,subject.ageGroup,blacklist
pb.memory_cd4_treg_il2_stat5,subject.ageGroup,blacklist
pb.memory_cd4_treg_il6_jak_stat3,subject.ageGroup,blacklist
pb.memory_cd4_treg_inflammatory,subject.ageGroup,blacklist
pb.memory_cd4_treg_tnfa_nfkb,subject.ageGroup,blacklist
pb.memory_cd8_treg_ifn_alpha,subject.ageGroup,blacklist
pb.memory_cd8_treg_ifn_gamma,subject.ageGroup,blacklist
pb.memory_cd8_treg_il2_stat5,subject.ageGroup,blacklist
pb.memory_cd8_treg_il6_jak_stat3,subject.ageGroup,blacklist
pb.memory_cd8_treg_inflammatory,subject.ageGroup,blacklist
pb.memory_cd8_treg_tnfa_nfkb,subject.ageGroup,blacklist
pb.naive_cd4_treg_ifn_alpha,subject.ageGroup,blacklist
pb.naive_cd4_treg_ifn_gamma,subject.ageGroup,blacklist
pb.naive_cd4_treg_il2_stat5,subject.ageGroup,blacklist
pb.naive_cd4_treg_il6_jak_stat3,subject.ageGroup,blacklist
pb.naive_cd4_treg_inflammatory,subject.ageGroup,blacklist
pb.naive_cd4_treg_tnfa_nfkb,subject.ageGroup,blacklist
pb.naive_vd1_gdt_ifn_alpha,subject.ageGroup,blacklist
pb.naive_vd1_gdt_ifn_gamma,subject.ageGroup,blacklist
pb.naive_vd1_gdt_il2_stat5,subject.ageGroup,blacklist
pb.naive_vd1_gdt_il6_jak_stat3,subject.ageGroup,blacklist
pb.naive_vd1_gdt_inflammatory,subject.ageGroup,blacklist
pb.naive_vd1_gdt_tnfa_nfkb,subject.ageGroup,blacklist
pb.pdc_ifn_alpha,subject.ageGroup,blacklist
pb.pdc_ifn_gamma,subject.ageGroup,blacklist
pb.pdc_il2_stat5,subject.ageGroup,blacklist
pb.pdc_il6_jak_stat3,subject.ageGroup,blacklist
pb.pdc_inflammatory,subject.ageGroup,blacklist
pb.pdc_tnfa_nfkb,subject.ageGroup,blacklist
pb.plasma_cell_ifn_alpha,subject.ageGroup,blacklist
pb.plasma_cell_ifn_gamma,subject.ageGroup,blacklist
pb.plasma_cell_il2_stat5,subject.ageGroup,blacklist
pb.plasma_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.plasma_cell_inflammatory,subject.ageGroup,blacklist
pb.plasma_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.platelet_ifn_alpha,subject.ageGroup,blacklist
pb.platelet_ifn_gamma,subject.ageGroup,blacklist
pb.platelet_il2_stat5,subject.ageGroup,blacklist
pb.platelet_il6_jak_stat3,subject.ageGroup,blacklist
pb.platelet_inflammatory,subject.ageGroup,blacklist
pb.platelet_tnfa_nfkb,subject.ageGroup,blacklist
pb.proliferating_nk_cell_ifn_alpha,subject.ageGroup,blacklist
pb.proliferating_nk_cell_ifn_gamma,subject.ageGroup,blacklist
pb.proliferating_nk_cell_il2_stat5,subject.ageGroup,blacklist
pb.proliferating_nk_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.proliferating_nk_cell_inflammatory,subject.ageGroup,blacklist
pb.proliferating_nk_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.proliferating_t_cell_ifn_alpha,subject.ageGroup,blacklist
pb.proliferating_t_cell_ifn_gamma,subject.ageGroup,blacklist
pb.proliferating_t_cell_il2_stat5,subject.ageGroup,blacklist
pb.proliferating_t_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.proliferating_t_cell_inflammatory,subject.ageGroup,blacklist
pb.proliferating_t_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.sox4_naive_cd4_t_cell_ifn_alpha,subject.ageGroup,blacklist
pb.sox4_naive_cd4_t_cell_ifn_gamma,subject.ageGroup,blacklist
pb.sox4_naive_cd4_t_cell_il2_stat5,subject.ageGroup,blacklist
pb.sox4_naive_cd4_t_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.sox4_naive_cd4_t_cell_inflammatory,subject.ageGroup,blacklist
pb.sox4_naive_cd4_t_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.sox4_naive_cd8_t_cell_ifn_alpha,subject.ageGroup,blacklist
pb.sox4_naive_cd8_t_cell_ifn_gamma,subject.ageGroup,blacklist
pb.sox4_naive_cd8_t_cell_il2_stat5,subject.ageGroup,blacklist
pb.sox4_naive_cd8_t_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.sox4_naive_cd8_t_cell_inflammatory,subject.ageGroup,blacklist
pb.sox4_naive_cd8_t_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.sox4_vd1_gdt_ifn_alpha,subject.ageGroup,blacklist
pb.sox4_vd1_gdt_ifn_gamma,subject.ageGroup,blacklist
pb.sox4_vd1_gdt_il2_stat5,subject.ageGroup,blacklist
pb.sox4_vd1_gdt_il6_jak_stat3,subject.ageGroup,blacklist
pb.sox4_vd1_gdt_inflammatory,subject.ageGroup,blacklist
pb.sox4_vd1_gdt_tnfa_nfkb,subject.ageGroup,blacklist
pb.transitional_b_cell_ifn_alpha,subject.ageGroup,blacklist
pb.transitional_b_cell_ifn_gamma,subject.ageGroup,blacklist
pb.transitional_b_cell_il2_stat5,subject.ageGroup,blacklist
pb.transitional_b_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.transitional_b_cell_inflammatory,subject.ageGroup,blacklist
pb.transitional_b_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.type_2_polarized_memory_b_cell_ifn_alpha,subject.ageGroup,blacklist
pb.type_2_polarized_memory_b_cell_ifn_gamma,subject.ageGroup,blacklist
pb.type_2_polarized_memory_b_cell_il2_stat5,subject.ageGroup,blacklist
pb.type_2_polarized_memory_b_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.type_2_polarized_memory_b_cell_inflammatory,subject.ageGroup,blacklist
pb.type_2_polarized_memory_b_cell_tnfa_nfkb,subject.ageGroup,blacklist
wb.adipogenesis,subject.ageGroup,blacklist
wb.allograft_rejection,subject.ageGroup,blacklist
wb.androgen_response,subject.ageGroup,blacklist
wb.angiogenesis,subject.ageGroup,blacklist
wb.apical_junction,subject.ageGroup,blacklist
wb.apical_surface,subject.ageGroup,blacklist
wb.apoptosis,subject.ageGroup,blacklist
wb.bile_acid_metabolism,subject.ageGroup,blacklist
wb.cholesterol_homeostasis,subject.ageGroup,blacklist
wb.coagulation,subject.ageGroup,blacklist
wb.complement,subject.ageGroup,blacklist
wb.dna_repair,subject.ageGroup,blacklist
wb.e2f_targets,subject.ageGroup,blacklist
wb.epithelial_mesenchymal_transition,subject.ageGroup,blacklist
wb.estrogen_response_early,subject.ageGroup,blacklist
wb.estrogen_response_late,subject.ageGroup,blacklist
wb.fatty_acid_metabolism,subject.ageGroup,blacklist
wb.g2_m_checkpoint,subject.ageGroup,blacklist
wb.glycolysis,subject.ageGroup,blacklist
wb.hedgehog_signaling,subject.ageGroup,blacklist
wb.heme_metabolism,subject.ageGroup,blacklist
wb.hypoxia,subject.ageGroup,blacklist
wb.il_2_stat5_signaling,subject.ageGroup,blacklist
wb.il_6_jak_stat3_signaling,subject.ageGroup,blacklist
wb.inflammatory_response,subject.ageGroup,blacklist
wb.interferon_alpha_response,subject.ageGroup,blacklist
wb.interferon_gamma_response,subject.ageGroup,blacklist
wb.kras_signaling_dn,subject.ageGroup,blacklist
wb.kras_signaling_up,subject.ageGroup,blacklist
wb.mitotic_spindle,subject.ageGroup,blacklist
wb.mtorc1_signaling,subject.ageGroup,blacklist
wb.myc_targets_v1,subject.ageGroup,blacklist
wb.myc_targets_v2,subject.ageGroup,blacklist
wb.myogenesis,subject.ageGroup,blacklist
wb.notch_signaling,subject.ageGroup,blacklist
wb.oxidative_phosphorylation,subject.ageGroup,blacklist
wb.p53_pathway,subject.ageGroup,blacklist
wb.pancreas_beta_cells,subject.ageGroup,blacklist
wb.pi3k_akt_mtor_signaling,subject.ageGroup,blacklist
wb.pperoxisome,subject.ageGroup,blacklist
wb.protein_secretion,subject.ageGroup,blacklist
wb.reactive_oxygen_species_pathway,subject.ageGroup,blacklist
wb.spermatogenesis,subject.ageGroup,blacklist
wb.tgf_beta_signaling,subject.ageGroup,blacklist
wb.tnf_alpha_signaling_via_nf_kb,subject.ageGroup,blacklist
wb.unfolded_protein_response,subject.ageGroup,blacklist
wb.uv_response_dn,subject.ageGroup,blacklist
wb.uv_response_up,subject.ageGroup,blacklist
wb.wnt_beta_catenin_signaling,subject.ageGroup,blacklist
wb.xenobiotic_metabolism,subject.ageGroup,blacklist
subject.biologicalSex,subject.ageGroup,blacklist
cmv.igg_serology_interpretation,subject.ageGroup,blacklist
freq.L1_b_cell,subject.biologicalSex,blacklist
freq.L1_dc,subject.biologicalSex,blacklist
freq.L1_erythrocyte,subject.biologicalSex,blacklist
freq.L1_ilc,subject.biologicalSex,blacklist
freq.L1_monocyte,subject.biologicalSex,blacklist
freq.L1_nk_cell,subject.biologicalSex,blacklist
freq.L1_platelet,subject.biologicalSex,blacklist
freq.L1_progenitor_cell,subject.biologicalSex,blacklist
freq.L1_t_cell,subject.biologicalSex,blacklist
freq.L2_asdc,subject.biologicalSex,blacklist
freq.L2_cd14_monocyte,subject.biologicalSex,blacklist
freq.L2_cd16_monocyte,subject.biologicalSex,blacklist
freq.L2_cd56bright_nk_cell,subject.biologicalSex,blacklist
freq.L2_cd56dim_nk_cell,subject.biologicalSex,blacklist
freq.L2_cd8aa,subject.biologicalSex,blacklist
freq.L2_cdc1,subject.biologicalSex,blacklist
freq.L2_cdc2,subject.biologicalSex,blacklist
freq.L2_dn_t_cell,subject.biologicalSex,blacklist
freq.L2_effector_b_cell,subject.biologicalSex,blacklist
freq.L2_erythrocyte,subject.biologicalSex,blacklist
freq.L2_gdt,subject.biologicalSex,blacklist
freq.L2_ilc,subject.biologicalSex,blacklist
freq.L2_intermediate_monocyte,subject.biologicalSex,blacklist
freq.L2_mait,subject.biologicalSex,blacklist
freq.L2_memory_b_cell,subject.biologicalSex,blacklist
freq.L2_memory_cd4_t_cell,subject.biologicalSex,blacklist
freq.L2_memory_cd8_t_cell,subject.biologicalSex,blacklist
freq.L2_naive_b_cell,subject.biologicalSex,blacklist
freq.L2_naive_cd4_t_cell,subject.biologicalSex,blacklist
freq.L2_naive_cd8_t_cell,subject.biologicalSex,blacklist
freq.L2_pdc,subject.biologicalSex,blacklist
freq.L2_plasma_cell,subject.biologicalSex,blacklist
freq.L2_platelet,subject.biologicalSex,blacklist
freq.L2_progenitor_cell,subject.biologicalSex,blacklist
freq.L2_proliferating_nk_cell,subject.biologicalSex,blacklist
freq.L2_proliferating_t_cell,subject.biologicalSex,blacklist
freq.L2_transitional_b_cell,subject.biologicalSex,blacklist
freq.L2_treg,subject.biologicalSex,blacklist
freq.L3_activated_memory_b_cell,subject.biologicalSex,blacklist
freq.L3_adaptive_nk_cell,subject.biologicalSex,blacklist
freq.L3_asdc,subject.biologicalSex,blacklist
freq.L3_baeomap_cell,subject.biologicalSex,blacklist
freq.L3_c1q_cd16_monocyte,subject.biologicalSex,blacklist
freq.L3_cd14_cdc2,subject.biologicalSex,blacklist
freq.L3_cd27_effector_b_cell,subject.biologicalSex,blacklist
freq.L3_cd4_mait,subject.biologicalSex,blacklist
freq.L3_cd56bright_nk_cell,subject.biologicalSex,blacklist
freq.L3_cd8_mait,subject.biologicalSex,blacklist
freq.L3_cd8aa,subject.biologicalSex,blacklist
freq.L3_cd95_memory_b_cell,subject.biologicalSex,blacklist
freq.L3_cdc1,subject.biologicalSex,blacklist
freq.L3_clp_cell,subject.biologicalSex,blacklist
freq.L3_cm_cd4_t_cell,subject.biologicalSex,blacklist
freq.L3_cm_cd8_t_cell,subject.biologicalSex,blacklist
freq.L3_cmp_cell,subject.biologicalSex,blacklist
freq.L3_core_cd14_monocyte,subject.biologicalSex,blacklist
freq.L3_core_cd16_monocyte,subject.biologicalSex,blacklist
freq.L3_core_memory_b_cell,subject.biologicalSex,blacklist
freq.L3_core_naive_b_cell,subject.biologicalSex,blacklist
freq.L3_core_naive_cd4_t_cell,subject.biologicalSex,blacklist
freq.L3_core_naive_cd8_t_cell,subject.biologicalSex,blacklist
freq.L3_dn_t_cell,subject.biologicalSex,blacklist
freq.L3_early_memory_b_cell,subject.biologicalSex,blacklist
freq.L3_erythrocyte,subject.biologicalSex,blacklist
freq.L3_gzmb_cd27_em_cd4_t_cell,subject.biologicalSex,blacklist
freq.L3_gzmb_vd2_gdt,subject.biologicalSex,blacklist
freq.L3_gzmk_cd27_em_cd8_t_cell,subject.biologicalSex,blacklist
freq.L3_gzmk_cd56dim_nk_cell,subject.biologicalSex,blacklist
freq.L3_gzmk_memory_cd4_treg,subject.biologicalSex,blacklist
freq.L3_gzmk_vd2_gdt,subject.biologicalSex,blacklist
freq.L3_hla_drhi_cdc2,subject.biologicalSex,blacklist
freq.L3_il1b_cd14_monocyte,subject.biologicalSex,blacklist
freq.L3_ilc,subject.biologicalSex,blacklist
freq.L3_intermediate_monocyte,subject.biologicalSex,blacklist
freq.L3_isg_cd14_monocyte,subject.biologicalSex,blacklist
freq.L3_isg_cd16_monocyte,subject.biologicalSex,blacklist
freq.L3_isg_cd56dim_nk_cell,subject.biologicalSex,blacklist
freq.L3_isg_cdc2,subject.biologicalSex,blacklist
freq.L3_isg_mait,subject.biologicalSex,blacklist
freq.L3_isg_memory_cd4_t_cell,subject.biologicalSex,blacklist
freq.L3_isg_memory_cd8_t_cell,subject.biologicalSex,blacklist
freq.L3_isg_naive_b_cell,subject.biologicalSex,blacklist
freq.L3_isg_naive_cd4_t_cell,subject.biologicalSex,blacklist
freq.L3_isg_naive_cd8_t_cell,subject.biologicalSex,blacklist
freq.L3_klrb1_memory_cd4_treg,subject.biologicalSex,blacklist
freq.L3_klrb1_memory_cd8_treg,subject.biologicalSex,blacklist
freq.L3_klrf1_effector_vd1_gdt,subject.biologicalSex,blacklist
freq.L3_klrf1_gzmb_cd27_em_cd8_t_cell,subject.biologicalSex,blacklist
freq.L3_klrf1_gzmb_cd27_memory_cd4_t_cell,subject.biologicalSex,blacklist
freq.L3_memory_cd4_treg,subject.biologicalSex,blacklist
freq.L3_memory_cd8_treg,subject.biologicalSex,blacklist
freq.L3_naive_cd4_treg,subject.biologicalSex,blacklist
freq.L3_naive_vd1_gdt,subject.biologicalSex,blacklist
freq.L3_pdc,subject.biologicalSex,blacklist
freq.L3_plasma_cell,subject.biologicalSex,blacklist
freq.L3_platelet,subject.biologicalSex,blacklist
freq.L3_proliferating_nk_cell,subject.biologicalSex,blacklist
freq.L3_proliferating_t_cell,subject.biologicalSex,blacklist
freq.L3_sox4_naive_cd4_t_cell,subject.biologicalSex,blacklist
freq.L3_sox4_naive_cd8_t_cell,subject.biologicalSex,blacklist
freq.L3_sox4_vd1_gdt,subject.biologicalSex,blacklist
freq.L3_transitional_b_cell,subject.biologicalSex,blacklist
freq.L3_type_2_polarized_memory_b_cell,subject.biologicalSex,blacklist
olink.IL6,subject.biologicalSex,blacklist
olink.TNF,subject.biologicalSex,blacklist
olink.CXCL8,subject.biologicalSex,blacklist
olink.CXCL9,subject.biologicalSex,blacklist
olink.GDF15,subject.biologicalSex,blacklist
olink.CCL11,subject.biologicalSex,blacklist
olink.TNFRSF1A,subject.biologicalSex,blacklist
olink.CD8A,subject.biologicalSex,blacklist
olink.GZMA,subject.biologicalSex,blacklist
olink.GZMB,subject.biologicalSex,blacklist
olink.KLRD1,subject.biologicalSex,blacklist
olink.FGF21,subject.biologicalSex,blacklist
olink.CHI3L1,subject.biologicalSex,blacklist
olink.IL18,subject.biologicalSex,blacklist
olink.CXCL10,subject.biologicalSex,blacklist
olink.CXCL11,subject.biologicalSex,blacklist
olink.IFNG,subject.biologicalSex,blacklist
olink.CCL2,subject.biologicalSex,blacklist
olink.CCL8,subject.biologicalSex,blacklist
olink.CCL3,subject.biologicalSex,blacklist
olink.CCL4,subject.biologicalSex,blacklist
olink.TNFRSF1B,subject.biologicalSex,blacklist
olink.MMP9,subject.biologicalSex,blacklist
olink.MMP12,subject.biologicalSex,blacklist
olink.IGFBP7,subject.biologicalSex,blacklist
olink.VEGFA,subject.biologicalSex,blacklist
olink.IL10,subject.biologicalSex,blacklist
olink.IL1RN,subject.biologicalSex,blacklist
olink.IL7,subject.biologicalSex,blacklist
olink.IL15,subject.biologicalSex,blacklist
olink.PDCD1,subject.biologicalSex,blacklist
olink.LAG3,subject.biologicalSex,blacklist
olink.HAVCR2,subject.biologicalSex,blacklist
olink.CD274,subject.biologicalSex,blacklist
olink.LEP,subject.biologicalSex,blacklist
pb.activated_memory_b_cell_ifn_alpha,subject.biologicalSex,blacklist
pb.activated_memory_b_cell_ifn_gamma,subject.biologicalSex,blacklist
pb.activated_memory_b_cell_il2_stat5,subject.biologicalSex,blacklist
pb.activated_memory_b_cell_il6_jak_stat3,subject.biologicalSex,blacklist
pb.activated_memory_b_cell_inflammatory,subject.biologicalSex,blacklist
pb.activated_memory_b_cell_tnfa_nfkb,subject.biologicalSex,blacklist
pb.adaptive_nk_cell_ifn_alpha,subject.biologicalSex,blacklist
pb.adaptive_nk_cell_ifn_gamma,subject.biologicalSex,blacklist
pb.adaptive_nk_cell_il2_stat5,subject.biologicalSex,blacklist
pb.adaptive_nk_cell_il6_jak_stat3,subject.biologicalSex,blacklist
pb.adaptive_nk_cell_inflammatory,subject.biologicalSex,blacklist
pb.adaptive_nk_cell_tnfa_nfkb,subject.biologicalSex,blacklist
pb.asdc_ifn_alpha,subject.biologicalSex,blacklist
pb.asdc_ifn_gamma,subject.biologicalSex,blacklist
pb.asdc_il2_stat5,subject.biologicalSex,blacklist
pb.asdc_il6_jak_stat3,subject.biologicalSex,blacklist
pb.asdc_inflammatory,subject.biologicalSex,blacklist
pb.asdc_tnfa_nfkb,subject.biologicalSex,blacklist
pb.baeomap_cell_ifn_alpha,subject.biologicalSex,blacklist
pb.baeomap_cell_ifn_gamma,subject.biologicalSex,blacklist
pb.baeomap_cell_il2_stat5,subject.biologicalSex,blacklist
pb.baeomap_cell_il6_jak_stat3,subject.biologicalSex,blacklist
pb.baeomap_cell_inflammatory,subject.biologicalSex,blacklist
pb.baeomap_cell_tnfa_nfkb,subject.biologicalSex,blacklist
pb.c1q_cd16_monocyte_ifn_alpha,subject.biologicalSex,blacklist
pb.c1q_cd16_monocyte_ifn_gamma,subject.biologicalSex,blacklist
pb.c1q_cd16_monocyte_il2_stat5,subject.biologicalSex,blacklist
pb.c1q_cd16_monocyte_il6_jak_stat3,subject.biologicalSex,blacklist
pb.c1q_cd16_monocyte_inflammatory,subject.biologicalSex,blacklist
pb.c1q_cd16_monocyte_tnfa_nfkb,subject.biologicalSex,blacklist
pb.cd14_cdc2_ifn_alpha,subject.biologicalSex,blacklist
pb.cd14_cdc2_ifn_gamma,subject.biologicalSex,blacklist
pb.cd14_cdc2_il2_stat5,subject.biologicalSex,blacklist
pb.cd14_cdc2_il6_jak_stat3,subject.biologicalSex,blacklist
pb.cd14_cdc2_inflammatory,subject.biologicalSex,blacklist
pb.cd14_cdc2_tnfa_nfkb,subject.biologicalSex,blacklist
pb.cd27_effector_b_cell_ifn_alpha,subject.biologicalSex,blacklist
pb.cd27_effector_b_cell_ifn_gamma,subject.biologicalSex,blacklist
pb.cd27_effector_b_cell_il2_stat5,subject.biologicalSex,blacklist
pb.cd27_effector_b_cell_il6_jak_stat3,subject.biologicalSex,blacklist
pb.cd27_effector_b_cell_inflammatory,subject.biologicalSex,blacklist
pb.cd27_effector_b_cell_tnfa_nfkb,subject.biologicalSex,blacklist
pb.cd4_mait_ifn_alpha,subject.biologicalSex,blacklist
pb.cd4_mait_ifn_gamma,subject.biologicalSex,blacklist
pb.cd4_mait_il2_stat5,subject.biologicalSex,blacklist
pb.cd4_mait_il6_jak_stat3,subject.biologicalSex,blacklist
pb.cd4_mait_inflammatory,subject.biologicalSex,blacklist
pb.cd4_mait_tnfa_nfkb,subject.biologicalSex,blacklist
pb.cd56bright_nk_cell_ifn_alpha,subject.biologicalSex,blacklist
pb.cd56bright_nk_cell_ifn_gamma,subject.biologicalSex,blacklist
pb.cd56bright_nk_cell_il2_stat5,subject.biologicalSex,blacklist
pb.cd56bright_nk_cell_il6_jak_stat3,subject.biologicalSex,blacklist
pb.cd56bright_nk_cell_inflammatory,subject.biologicalSex,blacklist
pb.cd56bright_nk_cell_tnfa_nfkb,subject.biologicalSex,blacklist
pb.cd8_mait_ifn_alpha,subject.biologicalSex,blacklist
pb.cd8_mait_ifn_gamma,subject.biologicalSex,blacklist
pb.cd8_mait_il2_stat5,subject.biologicalSex,blacklist
pb.cd8_mait_il6_jak_stat3,subject.biologicalSex,blacklist
pb.cd8_mait_inflammatory,subject.biologicalSex,blacklist
pb.cd8_mait_tnfa_nfkb,subject.biologicalSex,blacklist
pb.cd8aa_ifn_alpha,subject.biologicalSex,blacklist
pb.cd8aa_ifn_gamma,subject.biologicalSex,blacklist
pb.cd8aa_il2_stat5,subject.biologicalSex,blacklist
pb.cd8aa_il6_jak_stat3,subject.biologicalSex,blacklist
pb.cd8aa_inflammatory,subject.biologicalSex,blacklist
pb.cd8aa_tnfa_nfkb,subject.biologicalSex,blacklist
pb.cd95_memory_b_cell_ifn_alpha,subject.biologicalSex,blacklist
pb.cd95_memory_b_cell_ifn_gamma,subject.biologicalSex,blacklist
pb.cd95_memory_b_cell_il2_stat5,subject.biologicalSex,blacklist
pb.cd95_memory_b_cell_il6_jak_stat3,subject.biologicalSex,blacklist
pb.cd95_memory_b_cell_inflammatory,subject.biologicalSex,blacklist
pb.cd95_memory_b_cell_tnfa_nfkb,subject.biologicalSex,blacklist
pb.cdc1_ifn_alpha,subject.biologicalSex,blacklist
pb.cdc1_ifn_gamma,subject.biologicalSex,blacklist
pb.cdc1_il2_stat5,subject.biologicalSex,blacklist
pb.cdc1_il6_jak_stat3,subject.biologicalSex,blacklist
pb.cdc1_inflammatory,subject.biologicalSex,blacklist
pb.cdc1_tnfa_nfkb,subject.biologicalSex,blacklist
pb.clp_cell_ifn_alpha,subject.biologicalSex,blacklist
pb.clp_cell_ifn_gamma,subject.biologicalSex,blacklist
pb.clp_cell_il2_stat5,subject.biologicalSex,blacklist
pb.clp_cell_il6_jak_stat3,subject.biologicalSex,blacklist
pb.clp_cell_inflammatory,subject.biologicalSex,blacklist
pb.clp_cell_tnfa_nfkb,subject.biologicalSex,blacklist
pb.cm_cd4_t_cell_ifn_alpha,subject.biologicalSex,blacklist
pb.cm_cd4_t_cell_ifn_gamma,subject.biologicalSex,blacklist
pb.cm_cd4_t_cell_il2_stat5,subject.biologicalSex,blacklist
pb.cm_cd4_t_cell_il6_jak_stat3,subject.biologicalSex,blacklist
pb.cm_cd4_t_cell_inflammatory,subject.biologicalSex,blacklist
pb.cm_cd4_t_cell_tnfa_nfkb,subject.biologicalSex,blacklist
pb.cm_cd8_t_cell_ifn_alpha,subject.biologicalSex,blacklist
pb.cm_cd8_t_cell_ifn_gamma,subject.biologicalSex,blacklist
pb.cm_cd8_t_cell_il2_stat5,subject.biologicalSex,blacklist
pb.cm_cd8_t_cell_il6_jak_stat3,subject.biologicalSex,blacklist
pb.cm_cd8_t_cell_inflammatory,subject.biologicalSex,blacklist
pb.cm_cd8_t_cell_tnfa_nfkb,subject.biologicalSex,blacklist
pb.cmp_cell_ifn_alpha,subject.biologicalSex,blacklist
pb.cmp_cell_ifn_gamma,subject.biologicalSex,blacklist
pb.cmp_cell_il2_stat5,subject.biologicalSex,blacklist
pb.cmp_cell_il6_jak_stat3,subject.biologicalSex,blacklist
pb.cmp_cell_inflammatory,subject.biologicalSex,blacklist
pb.cmp_cell_tnfa_nfkb,subject.biologicalSex,blacklist
pb.core_cd14_monocyte_ifn_alpha,subject.biologicalSex,blacklist
pb.core_cd14_monocyte_ifn_gamma,subject.biologicalSex,blacklist
pb.core_cd14_monocyte_il2_stat5,subject.biologicalSex,blacklist
pb.core_cd14_monocyte_il6_jak_stat3,subject.biologicalSex,blacklist
pb.core_cd14_monocyte_inflammatory,subject.biologicalSex,blacklist
pb.core_cd14_monocyte_tnfa_nfkb,subject.biologicalSex,blacklist
pb.core_cd16_monocyte_ifn_alpha,subject.biologicalSex,blacklist
pb.core_cd16_monocyte_ifn_gamma,subject.biologicalSex,blacklist
pb.core_cd16_monocyte_il2_stat5,subject.biologicalSex,blacklist
pb.core_cd16_monocyte_il6_jak_stat3,subject.biologicalSex,blacklist
pb.core_cd16_monocyte_inflammatory,subject.biologicalSex,blacklist
pb.core_cd16_monocyte_tnfa_nfkb,subject.biologicalSex,blacklist
pb.core_memory_b_cell_ifn_alpha,subject.biologicalSex,blacklist
pb.core_memory_b_cell_ifn_gamma,subject.biologicalSex,blacklist
pb.core_memory_b_cell_il2_stat5,subject.biologicalSex,blacklist
pb.core_memory_b_cell_il6_jak_stat3,subject.biologicalSex,blacklist
pb.core_memory_b_cell_inflammatory,subject.biologicalSex,blacklist
pb.core_memory_b_cell_tnfa_nfkb,subject.biologicalSex,blacklist
pb.core_naive_b_cell_ifn_alpha,subject.biologicalSex,blacklist
pb.core_naive_b_cell_ifn_gamma,subject.biologicalSex,blacklist
pb.core_naive_b_cell_il2_stat5,subject.biologicalSex,blacklist
