from,to,constraint
olink.GDF15,subject.ageGroup,blacklist
olink.CCL11,subject.ageGroup,blacklist
olink.TNFRSF1A,subject.ageGroup,blacklist
olink.CD8A,subject.ageGroup,blacklist
olink.GZMA,subject.ageGroup,blacklist
olink.GZMB,subject.ageGroup,blacklist
olink.KLRD1,subject.ageGroup,blacklist
olink.FGF21,subject.ageGroup,blacklist
olink.CHI3L1,subject.ageGroup,blacklist
olink.IL18,subject.ageGroup,blacklist
olink.CXCL10,subject.ageGroup,blacklist
olink.CXCL11,subject.ageGroup,blacklist
olink.IFNG,subject.ageGroup,blacklist
olink.CCL2,subject.ageGroup,blacklist
olink.CCL8,subject.ageGroup,blacklist
olink.CCL3,subject.ageGroup,blacklist
olink.CCL4,subject.ageGroup,blacklist
olink.TNFRSF1B,subject.ageGroup,blacklist
olink.MMP9,subject.ageGroup,blacklist
olink.MMP12,subject.ageGroup,blacklist
olink.IGFBP7,subject.ageGroup,blacklist
olink.VEGFA,subject.ageGroup,blacklist
olink.IL10,subject.ageGroup,blacklist
olink.IL1RN,subject.ageGroup,blacklist
olink.IL7,subject.ageGroup,blacklist
olink.IL15,subject.ageGroup,blacklist
olink.PDCD1,subject.ageGroup,blacklist
olink.LAG3,subject.ageGroup,blacklist
olink.HAVCR2,subject.ageGroup,blacklist
olink.CD274,subject.ageGroup,blacklist
olink.LEP,subject.ageGroup,blacklist
pb.activated_memory_b_cell_ifn_alpha,subject.ageGroup,blacklist
pb.activated_memory_b_cell_ifn_gamma,subject.ageGroup,blacklist
pb.activated_memory_b_cell_il2_stat5,subject.ageGroup,blacklist
pb.activated_memory_b_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.activated_memory_b_cell_inflammatory,subject.ageGroup,blacklist
pb.activated_memory_b_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.adaptive_nk_cell_ifn_alpha,subject.ageGroup,blacklist
pb.adaptive_nk_cell_ifn_gamma,subject.ageGroup,blacklist
pb.adaptive_nk_cell_il2_stat5,subject.ageGroup,blacklist
pb.adaptive_nk_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.adaptive_nk_cell_inflammatory,subject.ageGroup,blacklist
pb.adaptive_nk_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.asdc_ifn_alpha,subject.ageGroup,blacklist
pb.asdc_ifn_gamma,subject.ageGroup,blacklist
pb.asdc_il2_stat5,subject.ageGroup,blacklist
pb.asdc_il6_jak_stat3,subject.ageGroup,blacklist
pb.asdc_inflammatory,subject.ageGroup,blacklist
pb.asdc_tnfa_nfkb,subject.ageGroup,blacklist
pb.baeomap_cell_ifn_alpha,subject.ageGroup,blacklist
pb.baeomap_cell_ifn_gamma,subject.ageGroup,blacklist
pb.baeomap_cell_il2_stat5,subject.ageGroup,blacklist
pb.baeomap_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.baeomap_cell_inflammatory,subject.ageGroup,blacklist
pb.baeomap_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.c1q_cd16_monocyte_ifn_alpha,subject.ageGroup,blacklist
pb.c1q_cd16_monocyte_ifn_gamma,subject.ageGroup,blacklist
pb.c1q_cd16_monocyte_il2_stat5,subject.ageGroup,blacklist
pb.c1q_cd16_monocyte_il6_jak_stat3,subject.ageGroup,blacklist
pb.c1q_cd16_monocyte_inflammatory,subject.ageGroup,blacklist
pb.c1q_cd16_monocyte_tnfa_nfkb,subject.ageGroup,blacklist
pb.cd14_cdc2_ifn_alpha,subject.ageGroup,blacklist
pb.cd14_cdc2_ifn_gamma,subject.ageGroup,blacklist
pb.cd14_cdc2_il2_stat5,subject.ageGroup,blacklist
pb.cd14_cdc2_il6_jak_stat3,subject.ageGroup,blacklist
pb.cd14_cdc2_inflammatory,subject.ageGroup,blacklist
pb.cd14_cdc2_tnfa_nfkb,subject.ageGroup,blacklist
pb.cd27_effector_b_cell_ifn_alpha,subject.ageGroup,blacklist
pb.cd27_effector_b_cell_ifn_gamma,subject.ageGroup,blacklist
pb.cd27_effector_b_cell_il2_stat5,subject.ageGroup,blacklist
pb.cd27_effector_b_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.cd27_effector_b_cell_inflammatory,subject.ageGroup,blacklist
pb.cd27_effector_b_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.cd4_mait_ifn_alpha,subject.ageGroup,blacklist
pb.cd4_mait_ifn_gamma,subject.ageGroup,blacklist
pb.cd4_mait_il2_stat5,subject.ageGroup,blacklist
pb.cd4_mait_il6_jak_stat3,subject.ageGroup,blacklist
pb.cd4_mait_inflammatory,subject.ageGroup,blacklist
pb.cd4_mait_tnfa_nfkb,subject.ageGroup,blacklist
pb.cd56bright_nk_cell_ifn_alpha,subject.ageGroup,blacklist
pb.cd56bright_nk_cell_ifn_gamma,subject.ageGroup,blacklist
pb.cd56bright_nk_cell_il2_stat5,subject.ageGroup,blacklist
pb.cd56bright_nk_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.cd56bright_nk_cell_inflammatory,subject.ageGroup,blacklist
pb.cd56bright_nk_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.cd8_mait_ifn_alpha,subject.ageGroup,blacklist
pb.cd8_mait_ifn_gamma,subject.ageGroup,blacklist
pb.cd8_mait_il2_stat5,subject.ageGroup,blacklist
pb.cd8_mait_il6_jak_stat3,subject.ageGroup,blacklist
pb.cd8_mait_inflammatory,subject.ageGroup,blacklist
pb.cd8_mait_tnfa_nfkb,subject.ageGroup,blacklist
pb.cd8aa_ifn_alpha,subject.ageGroup,blacklist
pb.cd8aa_ifn_gamma,subject.ageGroup,blacklist
pb.cd8aa_il2_stat5,subject.ageGroup,blacklist
pb.cd8aa_il6_jak_stat3,subject.ageGroup,blacklist
pb.cd8aa_inflammatory,subject.ageGroup,blacklist
pb.cd8aa_tnfa_nfkb,subject.ageGroup,blacklist
pb.cd95_memory_b_cell_ifn_alpha,subject.ageGroup,blacklist
pb.cd95_memory_b_cell_ifn_gamma,subject.ageGroup,blacklist
pb.cd95_memory_b_cell_il2_stat5,subject.ageGroup,blacklist
pb.cd95_memory_b_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.cd95_memory_b_cell_inflammatory,subject.ageGroup,blacklist
pb.cd95_memory_b_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.cdc1_ifn_alpha,subject.ageGroup,blacklist
pb.cdc1_ifn_gamma,subject.ageGroup,blacklist
pb.cdc1_il2_stat5,subject.ageGroup,blacklist
pb.cdc1_il6_jak_stat3,subject.ageGroup,blacklist
pb.cdc1_inflammatory,subject.ageGroup,blacklist
pb.cdc1_tnfa_nfkb,subject.ageGroup,blacklist
pb.clp_cell_ifn_alpha,subject.ageGroup,blacklist
pb.clp_cell_ifn_gamma,subject.ageGroup,blacklist
pb.clp_cell_il2_stat5,subject.ageGroup,blacklist
pb.clp_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.clp_cell_inflammatory,subject.ageGroup,blacklist
pb.clp_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.cm_cd4_t_cell_ifn_alpha,subject.ageGroup,blacklist
pb.cm_cd4_t_cell_ifn_gamma,subject.ageGroup,blacklist
pb.cm_cd4_t_cell_il2_stat5,subject.ageGroup,blacklist
pb.cm_cd4_t_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.cm_cd4_t_cell_inflammatory,subject.ageGroup,blacklist
pb.cm_cd4_t_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.cm_cd8_t_cell_ifn_alpha,subject.ageGroup,blacklist
pb.cm_cd8_t_cell_ifn_gamma,subject.ageGroup,blacklist
pb.cm_cd8_t_cell_il2_stat5,subject.ageGroup,blacklist
pb.cm_cd8_t_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.cm_cd8_t_cell_inflammatory,subject.ageGroup,blacklist
pb.cm_cd8_t_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.cmp_cell_ifn_alpha,subject.ageGroup,blacklist
pb.cmp_cell_ifn_gamma,subject.ageGroup,blacklist
pb.cmp_cell_il2_stat5,subject.ageGroup,blacklist
pb.cmp_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.cmp_cell_inflammatory,subject.ageGroup,blacklist
pb.cmp_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.core_cd14_monocyte_ifn_alpha,subject.ageGroup,blacklist
