node,tier
pb.cd27_effector_b_cell_tnfa_nfkb,1
pb.cd4_mait_ifn_alpha,1
pb.cd4_mait_ifn_gamma,1
pb.cd4_mait_il2_stat5,1
pb.cd4_mait_il6_jak_stat3,1
pb.cd4_mait_inflammatory,1
pb.cd4_mait_tnfa_nfkb,1
pb.cd56bright_nk_cell_ifn_alpha,1
pb.cd56bright_nk_cell_ifn_gamma,1
pb.cd56bright_nk_cell_il2_stat5,1
pb.cd56bright_nk_cell_il6_jak_stat3,1
pb.cd56bright_nk_cell_inflammatory,1
pb.cd56bright_nk_cell_tnfa_nfkb,1
pb.cd8_mait_ifn_alpha,1
pb.cd8_mait_ifn_gamma,1
pb.cd8_mait_il2_stat5,1
pb.cd8_mait_il6_jak_stat3,1
pb.cd8_mait_inflammatory,1
pb.cd8_mait_tnfa_nfkb,1
pb.cd8aa_ifn_alpha,1
pb.cd8aa_ifn_gamma,1
pb.cd8aa_il2_stat5,1
pb.cd8aa_il6_jak_stat3,1
pb.cd8aa_inflammatory,1
pb.cd8aa_tnfa_nfkb,1
pb.cd95_memory_b_cell_ifn_alpha,1
pb.cd95_memory_b_cell_ifn_gamma,1
pb.cd95_memory_b_cell_il2_stat5,1
pb.cd95_memory_b_cell_il6_jak_stat3,1
pb.cd95_memory_b_cell_inflammatory,1
pb.cd95_memory_b_cell_tnfa_nfkb,1
pb.cdc1_ifn_alpha,1
pb.cdc1_ifn_gamma,1
pb.cdc1_il2_stat5,1
pb.cdc1_il6_jak_stat3,1
pb.cdc1_inflammatory,1
pb.cdc1_tnfa_nfkb,1
pb.clp_cell_ifn_alpha,1
pb.clp_cell_ifn_gamma,1
pb.clp_cell_il2_stat5,1
pb.clp_cell_il6_jak_stat3,1
pb.clp_cell_inflammatory,1
pb.clp_cell_tnfa_nfkb,1
pb.cm_cd4_t_cell_ifn_alpha,1
pb.cm_cd4_t_cell_ifn_gamma,1
pb.cm_cd4_t_cell_il2_stat5,1
pb.cm_cd4_t_cell_il6_jak_stat3,1
pb.cm_cd4_t_cell_inflammatory,1
pb.cm_cd4_t_cell_tnfa_nfkb,1
pb.cm_cd8_t_cell_ifn_alpha,1
pb.cm_cd8_t_cell_ifn_gamma,1
pb.cm_cd8_t_cell_il2_stat5,1
pb.cm_cd8_t_cell_il6_jak_stat3,1
pb.cm_cd8_t_cell_inflammatory,1
pb.cm_cd8_t_cell_tnfa_nfkb,1
pb.cmp_cell_ifn_alpha,1
pb.cmp_cell_ifn_gamma,1
pb.cmp_cell_il2_stat5,1
pb.cmp_cell_il6_jak_stat3,1
pb.cmp_cell_inflammatory,1
