subject.subjectGuid,sample.sampleKitGuid,freq.L1_b_cell,freq.L1_dc,freq.L1_erythrocyte,freq.L1_ilc,freq.L1_monocyte,freq.L1_nk_cell,freq.L1_platelet,freq.L1_progenitor_cell,freq.L1_t_cell,freq.L2_asdc,freq.L2_cd14_monocyte,freq.L2_cd16_monocyte,freq.L2_cd56bright_nk_cell,freq.L2_cd56dim_nk_cell,freq.L2_cd8aa,freq.L2_cdc1,freq.L2_cdc2,freq.L2_dn_t_cell,freq.L2_effector_b_cell,freq.L2_erythrocyte,freq.L2_gdt,freq.L2_ilc,freq.L2_intermediate_monocyte,freq.L2_mait,freq.L2_memory_b_cell,freq.L2_memory_cd4_t_cell,freq.L2_memory_cd8_t_cell,freq.L2_naive_b_cell,freq.L2_naive_cd4_t_cell,freq.L2_naive_cd8_t_cell,freq.L2_pdc,freq.L2_plasma_cell,freq.L2_platelet,freq.L2_progenitor_cell,freq.L2_proliferating_nk_cell,freq.L2_proliferating_t_cell,freq.L2_transitional_b_cell,freq.L2_treg,freq.L3_activated_memory_b_cell,freq.L3_adaptive_nk_cell,freq.L3_asdc,freq.L3_baeomap_cell,freq.L3_c1q_cd16_monocyte,freq.L3_cd14_cdc2,freq.L3_cd27_effector_b_cell,freq.L3_cd27_effector_b_cell,freq.L3_cd27_effector_b_cell,freq.L3_cd27_effector_b_cell,freq.L3_cd4_mait,freq.L3_cd56bright_nk_cell,freq.L3_cd8_mait,freq.L3_cd8aa,freq.L3_cd95_memory_b_cell,freq.L3_cdc1,freq.L3_clp_cell,freq.L3_cm_cd4_t_cell,freq.L3_cm_cd8_t_cell,freq.L3_cmp_cell,freq.L3_core_cd14_monocyte,freq.L3_core_cd16_monocyte,freq.L3_core_memory_b_cell,freq.L3_core_naive_b_cell,freq.L3_core_naive_cd4_t_cell,freq.L3_core_naive_cd8_t_cell,freq.L3_dn_t_cell,freq.L3_early_memory_b_cell,freq.L3_erythrocyte,freq.L3_gzmb_cd27_em_cd4_t_cell,freq.L3_gzmb_cd27_em_cd4_t_cell,freq.L3_gzmb_cd27_em_cd4_t_cell,freq.L3_gzmb_cd27_em_cd4_t_cell,freq.L3_gzmb_vd2_gdt,freq.L3_gzmk_cd27_em_cd8_t_cell,freq.L3_gzmk_cd27_em_cd8_t_cell,freq.L3_gzmk_cd27_em_cd8_t_cell,freq.L3_gzmk_cd27_em_cd8_t_cell,freq.L3_gzmk_cd56dim_nk_cell,freq.L3_gzmk_cd56dim_nk_cell,freq.L3_gzmk_cd56dim_nk_cell,freq.L3_gzmk_cd56dim_nk_cell,freq.L3_gzmk_memory_cd4_treg,freq.L3_gzmk_vd2_gdt,freq.L3_hla_drhi_cdc2,freq.L3_il1b_cd14_monocyte,freq.L3_ilc,freq.L3_intermediate_monocyte,freq.L3_isg_cd14_monocyte,freq.L3_isg_cd16_monocyte,freq.L3_isg_cd56dim_nk_cell,freq.L3_isg_cdc2,freq.L3_isg_mait,freq.L3_isg_memory_cd4_t_cell,freq.L3_isg_memory_cd8_t_cell,freq.L3_isg_naive_b_cell,freq.L3_isg_naive_cd4_t_cell,freq.L3_isg_naive_cd8_t_cell,freq.L3_klrb1_memory_cd4_treg,freq.L3_klrb1_memory_cd8_treg,freq.L3_klrf1_effector_vd1_gdt,freq.L3_klrf1_effector_vd1_gdt,freq.L3_klrf1_effector_vd1_gdt,freq.L3_klrf1_effector_vd1_gdt,freq.L3_klrf1_gzmb_cd27_em_cd8_t_cell,freq.L3_klrf1_gzmb_cd27_em_cd8_t_cell,freq.L3_klrf1_gzmb_cd27_em_cd8_t_cell,freq.L3_klrf1_gzmb_cd27_em_cd8_t_cell,freq.L3_klrf1_gzmb_cd27_memory_cd4_t_cell,freq.L3_memory_cd4_treg,freq.L3_memory_cd8_treg,freq.L3_naive_cd4_treg,freq.L3_naive_vd1_gdt,freq.L3_pdc,freq.L3_plasma_cell,freq.L3_platelet,freq.L3_proliferating_nk_cell,freq.L3_proliferating_t_cell,freq.L3_sox4_naive_cd4_t_cell,freq.L3_sox4_naive_cd8_t_cell,freq.L3_sox4_vd1_gdt,freq.L3_transitional_b_cell,freq.L3_type_2_polarized_memory_b_cell
BR1001,KT00001,2.05465324034219,0.0785499689394143,-2.65824964544878,-3.23361379035234,2.8644604918139,1.66173534828612,-1.60219697119947,-3.03294309489019,3.86760445250917,-2.93298387830426,3.12934678467236,0.876452538348787,-0.200241064611677,1.93838934845849,-1.71658855397977,-2.93298387830426,-0.063665529605926,-1.51591785851761,-0.427457941313522,-2.23983669774431,0.927745832736337,-2.81520084264787,0.339432713491972,2.09007393579055,0.932995188622481,3.21120175582139,2.6382191314528,2.02723492987798,2.5631592315737,1.99336359926941,-0.479825926830838,-2.06798644081765,-1.183784023495,-2.61453014718572,-1.37483926025771,-0.853542336624422,-0.0288187982757578,0.780588188400049,-2.61358614138429,0.605289683483911,-1.92043896082434,-3.30673332194424,0.770804121961484,-0.0486367839227534,0.276785616511874,-0.704043636499852,0.276785616511874,-0.704043636499852,-1.43493114504264,0.812303852868237,3.08182808360139,-0.704043636499852,-1.2272917802644,-1.92043896082434,-3.30673332194424,3.58743000351843,1.7072297622447,-1.80265592516796,4.03701627018089,1.45115795106152,1.79921215195635,3.01852129656502,3.48448814078195,2.97646756794357,-0.503372941037701,-1.60198522970581,-1.2272917802644,2.96330948336606,2.31185430664873,2.96330948336606,2.31185430664873,0.941761920105123,2.87741556899325,0.127253882540911,2.87741556899325,0.127253882540911,1.29342432222031,2.59316403163826,1.29342432222031,2.59316403163826,-2.20812103327613,1.24186651255546,0.442770753986136,-0.444532441014767,-1.80265592516796,1.35197763097189,1.73346077439356,-1.51497385271618,-1.10950874460802,-2.20812103327613,-1.36082317288892,-0.667675992328977,-1.29183030140197,-0.78100467763598,-0.821826672156235,-2.05397035344887,-0.955358064780758,-1.60198522970581,-2.90126821383607,-2.05397035344887,-2.90126821383607,-2.05397035344887,-0.0486367839227534,2.56115016339239,-0.0486367839227534,2.56115016339239,0.812303852868237,1.03707209990945,-2.05397035344887,0.897959297446731,-0.388962589859956,0.532718990649075,-1.05544152333774,-0.171239106015086,-0.362294342777795,0.159002580855491,0.997331771259934,-0.704043636499852,-1.80265592516796,0.983726119204156,-0.78100467763598
BR1002,KT00002,1.34236448201264,0.374953381364531,-2.47863912502834,-3.39492985690249,2.67233765362099,2.16478977307684,-1.73670178029896,-2.76632119748012,3.82214666963491,-2.77245593534803,3.29199350451644,1.00848166318385,-0.847165073495457,2.88353587547182,-1.5403122540554,-2.77245593534803,0.559748574827169,-2.23345943461535,-1.25263018160362,-1.72263381084936,1.33372308452107,-2.63892454272351,0.186908694035082,-0.185766591250092,0.599753909440869,3.1695932521966,2.92031373947276,1.73683247893677,3.5890932426086,2.27922989857858,0.223276338205956,-2.4157809914093,-0.980696466119979,-2.01031588330114,-1.31716870274119,-1.2843788799182,-1.16301802291393,1.35467844969706,-3.65390306667738,-0.157395505210903,-1.70799291762207,-2.55529077800927,-0.518408850748233,0.636556374471008,-0.395806528655901,-1.70799291762207,-0.395806528655901,-1.70799291762207,-2.96075588611744,0.217297944230508,0.867885510371657,-0.475849236329438,-1.08895370921585,-1.70799291762207,-2.04446515424328,3.7412044798851,2.6339554934844,-1.45667848934116,4.28096849926779,1.96649779903977,1.48776048982528,2.78704347395554,4.60994506469152,3.33081325344088,-1.16899641688938,-0.709464087510943,-0.658170793123392,2.7245231169742,2.388729767005,2.7245231169742,2.388729767005,1.22129425652377,3.1584420275001,0.535751675349042,3.1584420275001,0.535751675349042,0.971069746606888,3.87227584666876,0.971069746606888,3.87227584666876,-2.04446515424328,1.8350346594793,1.11678155778828,-0.763531308781218,-1.57446152499755,1.25137171176105,1.6593029123644,-1.35131797368334,-1.01484573706212,-1.70799291762207,-3.65390306667738,-0.763531308781218,-1.45667848934116,-1.35131797368334,-0.475849236329438,-3.65390306667738,-0.219915862192237,-1.35131797368334,-1.35131797368334,-2.04446515424328,-1.35131797368334,-2.04446515424328,0.931064411993189,2.48166182440436,0.931064411993189,2.48166182440436,-1.08895370921585,1.31591023289862,-0.881314344437602,1.79713538688832,-0.127542542061222,1.28773935593192,-1.35131797368334,0.0837665516059851,-0.252705685015228,-0.219915862192237,1.36337677013754,-0.945852865575173,-1.57446152499755,-0.0985550051879695,-2.26760870555749
BR1003,KT00003,2.05314334987564,-0.0136616077996855,-2.6301446153764,-3.20550876027997,2.75492367758029,1.57174557340886,-1.96874613313104,-2.56951999355997,4.00776850928228,-3.17152246205579,2.84015312566833,1.68699711730358,0.723693425055979,1.65412104669064,-0.645793817747531,-3.35384401884974,-0.0729328030620875,-1.2744024771699,-0.83614754623875,-2.19069320904406,0.786111054624412,-2.76605735394762,0.635140027714533,1.35568618246259,0.96364409468657,2.87978208540821,1.86000419107185,2.12762789079614,3.53309612041848,2.86833534506877,-0.60657310459425,-2.3983325738223,-1.5292947267987,-2.13006858722763,-1.63107742110864,-1.59598610129737,-0.544441323487243,0.832775819481531,-2.14879149009987,-1.37560160186639,-2.14879149009987,-3.94055095932793,-0.276989313198282,0.0297409542241931,-0.202881341044561,-0.896028521604506,-0.202881341044561,-0.896028521604506,-3.94055095932793,1.74642439701189,2.34916461158107,0.376937154208382,-1.05017920143176,-2.33111304689383,-1.86110941764809,3.33945729355626,1.72932996365259,-1.63796586633388,3.30367655627542,2.37661372741935,1.81519125425898,3.06704965462392,4.38111384780707,3.84600084710078,-0.251671505213992,-1.37560160186639,-1.16796223708815,2.50198920714027,1.95385187493692,2.50198920714027,1.95385187493692,-0.251671505213992,2.19284708366872,-0.6447140933236,2.19284708366872,-0.6447140933236,0.838572533783601,2.42419979752398,0.838572533783601,2.42419979752398,-2.84193867065982,0.972103926408123,-0.0285279538997827,-1.45564430953993,-1.74332638199171,1.65787099967045,3.0054630317713,1.26345572774887,-0.302964799601543,-0.474815056528202,-1.10733761527171,0.713409390829595,-1.23250075822572,0.634160019175454,1.47998403994436,-0.357032020871819,-0.506563754842782,-2.55425659820804,-3.24740377876798,-3.94055095932793,-3.24740377876798,-3.94055095932793,-0.133888469557609,0.513796336925579,-0.133888469557609,0.513796336925579,-2.33111304689383,1.03618278309265,-3.24740377876798,1.06339534661753,0.634160019175454,0.416157867361663,-1.37560160186639,-0.506563754842782,-0.608346449152725,-0.573255129341455,2.38916994619477,0.403254462525755,-0.179350843634366,0.478289648468669,-0.682454421306447
BR1004,KT00004,1.42966058899635,0.0861225958620449,-3.23259856397587,-2.42166834775954,2.21897622642221,1.8786359286765,-0.846131987001124,-3.23259856397587,4.11960212275531,-3.02953445812946,2.50582936490178,0.743226479965178,-0.439267292683633,2.27625492325728,-2.18223659774226,-3.02953445812946,0.10595975779969,-1.38730672287237,-0.601786222181408,-2.74185238567768,1.95064162848209,-1.93092216946135,-0.378642670867199,1.98995045124378,0.723883517122047,3.10747239426918,2.37539264347683,1.26092498301893,3.60925145733305,2.49392446239546,-0.517228834153345,-1.64324009700957,-0.355385808702931,-2.74185238567768,-1.13241447324358,-1.64324009700957,-0.646906657461878,1.25863926773808,-2.54472333623193,-0.935285423797827,-1.85157615567198,-3.64333562490004,-2.03389771246594,0.619344252141278,0.185305771589058,-0.507841408970887,0.185305771589058,-0.507841408970887,-2.95018844434009,0.738691009773844,3.16459931879989,-1.00427829528478,-0.552293171541721,-1.85157615567198,-2.95018844434009,3.8359640128828,2.18266448248041,-1.69742547584472,3.53291890711711,1.80770282866566,1.67967435423837,2.42970890920037,4.77315286239457,3.65713718936776,-0.209348420414891,-0.810122280843821,-1.5638940832202,2.6008312757637,2.48571458516051,2.6008312757637,2.48571458516051,1.67967435423837,2.75192597321541,0.206811976810022,2.75192597321541,0.206811976810022,1.48656309002304,3.27930826657585,1.48656309002304,3.27930826657585,-2.03389771246594,2.7618928331308,0.499799101491496,-1.00427829528478,-0.752963867003872,0.799315631590279,1.65996928315904,-0.424459800031836,-1.0783862674385,-1.85157615567198,-2.54472333623193,-0.424459800031836,-1.15842897511204,-2.03389771246594,-0.385239086878555,-2.25704126378015,-0.698896645733597,-2.54472333623193,0.163326864870283,-3.64333562490004,0.163326864870283,-3.64333562490004,1.58777299195455,1.4065203823495,1.58777299195455,1.4065203823495,-1.34075053190599,1.60368844726045,-2.25704126378015,1.75482707661772,-0.698896645733597,0.660729468304133,-0.465281794552092,0.822572493754546,0.045543829213899,-0.465281794552092,0.045543829213899,-0.647603351346046,-2.54472333623193,0.5310516449956,-1.0783862674385
BR1005,KT00006,1.58115167968158,0.141177169098062,-2.52018591803149,-2.8996755397364,3.34075024171173,0.337493478179128,-1.59342388629004,-2.03063769271279,3.64335046810022,-2.87817846848094,4.01952647464769,0.843490808455984,-0.465245318318032,0.843490808455984,-1.67420566415501,-3.57132564904089,0.500546057329154,-1.37410107170467,-0.798736926801107,-1.72549895854256,0.932180883170703,-2.10498858024746,1.51214696900763,0.793893867316612,0.709959415831462,2.8071005346107,1.52037746814415,2.0246241208121,3.79511949928671,2.25073356653969,-0.170128267378733,-3.57132564904089,-0.798736926801107,-1.23595073322385,-1.77956617981283,-1.49188410736105,-0.339204597422667,1.42588662472323,-2.17441942092027,-1.48127224036032,-1.7689543128121,-2.46210149337205,-0.341837957171956,0.982581000229847,-0.616274802873717,-0.159516400378002,-0.616274802873717,-0.159516400378002,-2.17441942092027,0.643978837350809,1.88170392848164,-0.564981508486166,-1.07580713225216,-2.46210149337205,-1.95127586960606,3.34202895511844,1.50819042018007,-0.341837957171956,5.03621437739493,1.8191835715003,1.60407219188336,3.09858013764348,4.85864604902732,3.34303347554444,-0.264876916035828,-1.07580713225216,-0.616274802873717,2.30858313109362,2.43324764526641,2.30858313109362,2.43324764526641,1.02425369663041,1.62106976825193,-0.616274802873717,1.62106976825193,-0.616274802873717,0.267927614448938,1.70714437702317,0.267927614448938,1.70714437702317,-1.61480363298484,1.38092864056915,0.770019558246174,-0.616274802873717,-0.99576442457862,2.62137112467647,2.66976766553832,-1.48127224036032,-2.46210149337205,-1.48127224036032,-2.46210149337205,-0.564981508486166,-1.61480363298484,-0.193417952053683,0.223475851878104,-2.17441942092027,-0.341837957171956,-1.61480363298484,-1.61480363298484,-1.36348920470394,-1.61480363298484,-1.36348920470394,0.770019558246174,0.428270264524117,0.770019558246174,0.428270264524117,-3.56071378204016,1.80526223298169,-1.61480363298484,1.68103323301949,-0.852663580937947,0.939095888290108,-2.46210149337205,0.310487228867734,-0.670342024143992,-0.382659951692211,1.5750846550101,-0.852663580937947,-1.61480363298484,0.770019558246174,-0.670342024143992
BR1006,KT00010,2.13928667853248,0.105053320937589,-2.98219406145218,-3.0692054384418,2.74979786967344,1.84010160352456,-1.66043822146986,-2.82804338162492,3.70564163032069,-3.27838472854635,3.07075426283345,1.52399562672945,0.205927559826311,2.28460193614439,-1.66894681611225,-2.32287328351891,0.122812653115805,-1.39131507951397,-0.936578922399024,-2.40291599119245,1.78673875083397,-2.48992736818208,0.576009164045159,1.2455754020162,1.24774225010129,2.86408269209816,2.17608132049162,2.3088639298539,3.29305830101594,2.04267212497118,-0.302855162309879,-3.27838472854635,-1.08116015121013,-2.24876531136519,-1.59198577497612,-2.48992736818208,0.193581724004012,0.541522987973989,-2.05858351383321,-0.40992488824583,-2.05858351383321,-2.97487424570737,0.223798871843315,0.506365843628325,-0.0304352665409263,-0.959971225165102,-0.0304352665409263,-0.959971225165102,-2.5694091375992,1.42572877453945,2.45884775784687,-0.449145601399111,-0.335816916092108,-1.10307206880578,-2.97487424570737,3.62635587302151,1.89649898105538,-1.18311477647931,4.20709785477298,2.61797666824155,2.27477794885939,3.51660772645,4.46791134573758,3.24670946645125,-0.171513864800832,-0.335816916092108,-1.18311477647931,2.60296700559099,2.06207835670626,2.60296700559099,2.06207835670626,2.31591485441988,2.59537683632431,0.357330264467837,2.59537683632431,0.357330264467837,0.896326765200524,3.39588253520476,0.896326765200524,3.39588253520476,-2.05858351383321,2.22638140799754,0.762795372576001,-1.18311477647931,-1.27012615346894,1.7958103787583,1.72105030354919,-0.449145601399111,-0.959971225165102,-2.5694091375992,-2.97487424570737,-0.895432704027531,-1.47079684893109,-0.834808082211096,-0.202285523467585,-2.97487424570737,-1.18311477647931,-2.5694091375992,-2.28172706514742,-3.66802142626731,-2.28172706514742,-3.66802142626731,0.339311758965159,1.92296555424354,0.339311758965159,1.92296555424354,-2.05858351383321,0.896326765200524,-2.97487424570737,1.07691070209594,-0.335816916092108,0.91694605240326,-2.05858351383321,0.138641063503008,-0.372184560262983,-1.27012615346894,1.17616566019128,-0.895432704027531,-2.28172706514742,1.41338293871715,-0.489967595919366
BR1007,KT00014,1.63597207621196,-0.116221792809907,-2.26712229847189,-3.77119969524816,2.29992287016527,1.60639085219438,-0.621316741866913,-2.51843672675279,3.75201145657805,-2.85526309110537,2.92327340547286,0.658412273983479,-1.08760117345637,2.32571756873813,-2.09312303905847,-2.40327796736231,0.334625196889582,-2.31626659037268,-0.869347607436354,-1.50533637415635,1.68498754878341,-3.00941377093262,-0.166444251931044,1.91663145486301,1.8321451931197,2.88223044089315,1.78361815222504,1.27187129393973,3.68246316772672,2.55446786281357,-0.951025638450621,-1.36718603567553,0.140469182448624,-1.75665080243726,-2.09312303905847,-1.75665080243726,-0.611518498134254,0.851315940107971,-2.27550130955972,2.16243295705246,-1.93902907293851,-3.88493922199382,-1.24588189237856,0.140412468741328,-0.552734711818617,-0.706885391645876,-0.552734711818617,-0.706885391645876,-3.19179204143388,-0.171367155289514,2.82436511826448,-1.17688902089161,-0.171367155289514,-1.48704394919545,-1.80549768031399,3.19676936411175,0.842448596718519,-1.24588189237856,3.68756376302656,1.43318077185039,2.51365571254139,2.15769361168856,4.55321076208196,3.44218407026547,-1.40003257220582,-1.40003257220582,-0.589102355989492,2.19040680909486,2.16479423323814,2.19040680909486,2.16479423323814,0.24219516305127,1.76403501616738,-0.274021309349597,1.76403501616738,-0.274021309349597,0.787889612468085,2.68173320780942,0.787889612468085,2.68173320780942,-3.19179204143388,1.04953471113687,0.778499872118246,0.12239396323865,-2.09317975276577,0.749789766235814,1.69855708678788,-0.940500242827381,-1.93902907293851,-1.58235412899978,-1.93902907293851,-0.626842683972339,-1.40003257220582,-1.24588189237856,0.27394386136585,-1.93902907293851,-1.17688902089161,-2.27550130955972,-0.450952017508675,2.02856378364445,-0.450952017508675,2.02856378364445,-0.388431660527341,1.63652169586842,-0.388431660527341,1.63652169586842,0.730181294847438,0.815541143798595,-2.49864486087393,1.15201338041981,-0.171367155289514,-0.0347916202837628,-0.450952017508675,1.05670320061548,-1.17688902089161,-0.840416784270398,1.14549869939861,-0.221377575864175,-0.994567464097657,0.304715520032604,0.769021128163702
BR1008,KT00012,2.03753523044883,-0.568515802698254,-2.59868629537131,-3.08419411115301,2.23698492453829,1.09976260975878,-0.139755131986567,-3.21772550377753,4.23459408024076,-2.54153867317854,2.81302399203395,0.364581441685769,-0.0686082144372505,1.58328890576864,-2.87801090979975,-2.69568935300579,-0.238953580184489,-1.77939862113164,-0.74977920395048,-1.92249946477231,1.55518401144853,-2.40800728055401,-1.08625144057169,0.203899059995295,0.820818875167356,3.80309467853889,3.01308066316145,2.34450474333201,3.95437406215761,1.91446837449334,-1.54300984306741,-1.26857299736565,0.536431698612428,-2.54153867317854,-2.08955354943548,-1.26857299736565,0.516497483711611,1.6567368118918,-3.42363457925696,1.1089649138963,-1.47772443020164,-2.73048739869701,-0.590421235200739,0.447566431650936,-0.332592125898639,-0.379112141533532,-0.332592125898639,-0.379112141533532,-2.73048739869701,0.995206028539643,1.25849664786726,-1.81419666682286,-0.590421235200739,-1.6318751100289,-2.73048739869701,4.34151032367918,1.91869967270786,-1.81419666682286,3.83407309790309,1.24919425520495,1.71216385779331,3.39856281136354,5.01082896456029,2.97662286605187,-0.715584378154745,-2.03734021813706,-0.858685221795419,2.626098875975,3.46391799240766,2.626098875975,3.46391799240766,1.42839568466266,2.46800963256882,-0.784577249641697,2.46800963256882,-0.784577249641697,0.314035039026413,2.27009755954574,0.314035039026413,2.27009755954574,-0.858685221795419,1.37215596633979,-0.379112141533532,-1.47772443020164,-1.34419303757712,-0.0224371975947999,0.619416688577595,-1.6318751100289,-2.03734021813706,-2.32502229058885,-3.42363457925696,-0.715584378154745,-2.32502229058885,-1.12104948626291,-0.784577249641697,-2.73048739869701,0.583698605975516,-0.938727929468955,-0.0563387492704813,1.23980451485511,-0.0563387492704813,1.23980451485511,2.6118468532678,3.27092747926414,2.6118468532678,3.27092747926414,1.9423414357649,2.20398653443368,-2.73048739869701,1.28589562205538,0.289937487447352,-0.479195600090515,-0.204758754388755,1.60024594158932,-1.02573930645858,-0.204758754388755,-0.332592125898639,-3.42363457925696,-3.42363457925696,1.5803117266885,-0.784577249641697
BR1009,KT00023,2.29085527601316,0.079012498167386,-3.04054512549895,-3.35899885661749,2.67048375767802,1.70754406941707,-1.5466201001867,-2.60522705424111,3.80349553526861,-2.96243369025035,2.93643573793753,0.438763691411801,-0.53101572541334,2.0151617497677,0.183871441783011,-2.96243369025035,-0.159073309343819,-1.86382140158224,0.860758101471176,-2.64397995913182,1.4164630514146,-2.96243369025035,0.0880234829928832,1.84873388821698,1.62253378842022,2.75664782169502,2.15630834517175,1.7997402445474,3.03959980820686,2.0565004066606,-0.397484332788818,-1.32830316522588,-1.15005493381956,-2.20866188787397,-2.09743625276375,-2.47692587446865,-0.0245953951152659,0.549111748580666,-1.9007300711565,-1.1385900191096,-1.76719867853198,-3.15349303965187,-1.0134268761556,0.142343826352462,1.3181457537117,1.41085515181597,1.3181457537117,1.41085515181597,-1.07405149797203,0.664219286305038,3.02133418875848,1.37910645350139,-0.291292158722398,-1.76719867853198,-2.23720230777771,3.37300181991892,1.87038748119441,-1.36173357042381,4.06101137449928,1.51933579481004,2.68131769741074,2.97009566038316,4.1122862728383,3.22238320636645,-0.668586389863866,-0.445442838549657,-1.44874494741344,2.62261009658396,2.15724684689473,2.62261009658396,2.15724684689473,1.8736715563956,2.65314682044404,-0.850907946657821,2.65314682044404,-0.850907946657821,0.572200387584786,3.1193839668943,0.572200387584786,3.1193839668943,-3.84664022021181,1.57830979726959,0.497165201641872,-2.46034585909192,-1.76719867853198,1.28325849471126,1.43656350852618,-1.44874494741344,-2.05488075098376,-2.7480279315437,-1.76719867853198,-0.902201241045372,-1.36173357042381,-0.668586389863866,-0.58854368219033,-2.46034585909192,-1.07405149797203,-2.7480279315437,-2.05488075098376,-3.15349303965187,-2.05488075098376,-3.15349303965187,0.797750678929561,1.62141992092332,0.797750678929561,1.62141992092332,-2.05488075098376,0.707236671388729,-2.46034585909192,1.19031238220182,0.497165201641872,0.797750678929561,-0.133068153507504,0.0451800778988144,-0.902201241045372,-1.28169086275028,2.00843170199061,-0.350132658745332,-0.58854368219033,1.17063961660311,-0.380904317412086
BR1010,KT00022,1.04268648597967,0.062464213259722,-1.8642145738677,-3.65597404309576,2.63633556299028,1.52693247194095,-0.254776661433603,-3.4736524863018,3.98019903052824,-3.84062295386937,3.16788222821291,1.44003947743995,0.270250910303945,2.09823164296632,-0.950251195973202,-2.45432859274948,0.0714000515587792,-1.8257199333271,-0.922852221785088,-1.13257275276716,1.78339455231797,-2.92433222199521,0.0613497157052777,0.951026799061343,0.429074495830595,3.44454083543841,3.11306125700117,1.25005504790043,3.59363442826377,2.17431394942376,0.0613497157052777,-4.53377013442931,0.476865159666944,-2.74201066520126,-2.04886348464131,-1.442727681071,-0.683622532719254,1.11520410373189,-3.66108088772874,-0.259883506066583,-2.96793370716879,-2.96793370716879,-0.0234947280023522,0.0765887305546303,-0.525586671799588,-0.953030686626528,-0.525586671799588,-0.953030686626528,-1.0961315302672,1.14294015700452,1.75945411154355,-0.077561949272628,-2.05164297529464,-1.5816393460489,-3.66108088772874,3.4833262925924,2.18246352930262,-2.05164297529464,3.9433154610676,2.15900204262362,1.12641085505331,2.07549140975045,4.43634541086848,3.03595335993775,-0.953030686626528,-0.716641908562298,-0.259883506066583,3.06515251463001,2.74083630899845,3.06515251463001,2.74083630899845,0.399362122817681,3.03224278054121,-0.365244021724409,3.03224278054121,-0.365244021724409,1.01174794673317,2.76054138007778,1.01174794673317,2.76054138007778,-2.27478652660885,1.66192909140967,0.210120123179153,-0.953030686626528,-2.05164297529464,0.934038962405852,1.59641448429904,-0.665348614174747,-1.35849579473469,-1.17617423794074,-2.27478652660885,-0.442205062860537,-1.26318561493037,-0.888492165488957,-0.328876377553534,-2.96793370716879,-0.770709129832573,-1.86932141850068,1.55385486988025,0.733368266943701,1.55385486988025,0.733368266943701,2.17372984933387,2.67927841599901,2.17372984933387,2.67927841599901,1.59641448429904,1.3887751195208,-1.35849579473469,0.892796003871803,-0.442205062860537,0.934038962405852,-3.66108088772874,1.34955440636752,-1.17617423794074,-0.570038434370422,0.642984205475432,-1.46385631039252,-1.86932141850068,0.189066713981321,-2.96793370716879
